Round,Loss,Accuracy,Avg Client Time,Agg Time,Total Time
1,0.3427,90.44%,4.46,0.00,46.3
2,0.2015,94.30%,4.48,0.00,46.3
3,0.1499,95.65%,4.49,0.00,46.4
4,0.1221,96.38%,4.51,0.00,46.6
5,0.1052,96.71%,4.52,0.00,46.7
6,0.0952,97.06%,4.55,0.00,47.0
7,0.0856,97.32%,4.55,0.00,47.0
8,0.0799,97.44%,4.56,0.00,47.1
9,0.0749,97.64%,4.65,0.00,48.0
10,0.0707,97.74%,4.64,0.00,47.9
