Round,Loss,Accuracy,Avg Client Time,Agg Time,Total Time
1,0.3615,90.29%,4.42,0.65,46.5
2,0.2363,93.40%,4.62,0.54,48.3
3,0.1797,94.86%,4.62,0.54,48.4
